what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342170192
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1354342171666
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1354342172211
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1354342173342
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1354342173542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342176111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342181266
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354342183236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342185635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342321337
activated,editor,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1354342322190
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1354342329084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342348842
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342589672
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354342594828
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342596688
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342608353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342609386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342610819
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342611054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342611288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342611896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342612994
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342616592
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354342869317
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1354342880644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354343049465
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584880651
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584880719
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584882578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584892491
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354584898819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584898865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584902041
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584902416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584920629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584932549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584934919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584950137
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584951068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584954474
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584955909
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584973750
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1354584978006
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354584985236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584988652
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1354584993566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354584993674
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1354584997816
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354585004533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354585047445
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354585052751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767886355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767886758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767889273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767894422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767894495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767894504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767897876
error,log,,,"Unhandled event loop exception",1354767897962
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1354767900769
